chain_id,dex_id,factory_address,geckoterminal_url,name,router_address
1088,,,https://www.geckoterminal.com/metis/hyperjump_metis/pools,HyperJump (Metis),
1088,,,https://www.geckoterminal.com/metis/agora_swap/pools,Agora Swap,
1101,,,https://www.geckoterminal.com/polygon-zkevm/quickswap-polygon-zkevm/pools,Quickswap (Polygon zkEVM),
1101,,,https://www.geckoterminal.com/polygon-zkevm/doveswap-v3/pools,DoveSwap V3,
1101,,,https://www.geckoterminal.com/polygon-zkevm/leetswap-zkevm/pools,LeetSwap (zkEVM),
1111,,,https://www.geckoterminal.com/wemix/wemix_fi/pools,WEMIX.FI,
1116,,,https://www.geckoterminal.com/core/archerswap/pools,Archerswap,
1116,,,https://www.geckoterminal.com/core/lfgswap-core/pools,LFGswap (Core),
1116,,,https://www.geckoterminal.com/core/icecreamswap-core/pools,Icecreamswap (Core),
1116,,,https://www.geckoterminal.com/core/shadowswap/pools,ShadowSwap,
1116,,,https://www.geckoterminal.com/core/spoon-exchange/pools,Spoon Exchange,
1116,,,https://www.geckoterminal.com/core/nskswap/pools,NSKSwap,
1116,,,https://www.geckoterminal.com/core/satoshicoreswap/pools,SatoshiCoreswap,
1231,,,https://www.geckoterminal.com/ultron/ultronswap/pools,UltronSwap,
1234,,,https://www.geckoterminal.com/step-network/step-exchange/pools,Step Exchange,
1284,,,https://www.geckoterminal.com/glmr/stellaswap-v3/pools,StellaSwap (V3),
1284,,,https://www.geckoterminal.com/glmr/stellaswap/pools,StellaSwap,
1284,,,https://www.geckoterminal.com/glmr/beamswap/pools,Beamswap,
1284,,,https://www.geckoterminal.com/glmr/fraxswap_moonbeam/pools,Fraxswap (Moonbeam),
1284,,,https://www.geckoterminal.com/glmr/curve_moonbeam/pools,Curve (Moonbeam),
1284,,,https://www.geckoterminal.com/glmr/zenlink_moonbeam/pools,Zenlink (Moonbeam),
